,author,content,probs
2230,daenerys targaryen,Can't you help me make him understand?,"[[0.19754824 0.21211319 0.1417513  0.15638582 0.2347932  0.04777197
  0.00963619]]"
2231,jorah mormont,"The Dothraki do things in their own time, for their own reasons.","[[0.0132914  0.01532959 0.01227275 0.02668621 0.0192179  0.00422438
  0.9089777 ]]"
2232,daenerys targaryen,"My brother was a fool, I know, but he was the rightful heir to the Seven Kingdoms.","[[8.5595751e-04 1.1442988e-03 3.4010562e-03 4.1523386e-02 3.9559342e-03
  2.4125427e-03 9.4670677e-01]]"
2233,jorah mormont,"Forgive me, Khaleesi, but your ancestor Aegon the Conqueror didn't seize six of the kingdoms because they were his right.","[[3.75209391e-01 3.58856201e-01 1.01039246e-01 5.81535650e-03
  1.53924540e-01 4.95807081e-03 1.97296031e-04]]"
2234,daenerys targaryen,And because he had dragons.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2235,jorah mormont,"Ah well, having a few dragons makes things easier.","[[0.01487209 0.01707304 0.01317552 0.02730516 0.02080282 0.00446397
  0.90230745]]"
2236,daenerys targaryen,You don't believe it.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2237,jorah mormont,"Have you ever seen a dragon, Khaleesi? I believe what my eyes and ears report.","[[3.65882516e-01 3.53195161e-01 1.00993715e-01 7.81975314e-03
  1.66228667e-01 5.65829640e-03 2.21902956e-04]]"
2238,deanerys targarian,"Well, I'll come with you.","[[0.11392237 0.12093063 0.05478467 0.05004094 0.09573255 0.01515563
  0.5494332 ]]"
2239,jorah mormont,"No no, don't trouble yourself. Enjoy the market. I'll rejoin you soon enough.","[[0.02898322 0.03338945 0.03022105 0.08126128 0.04649277 0.01325504
  0.7663972 ]]"
2240,little bird,"Psst, Jorah the Andal.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2241,wine merchant,Virzetha gizikhven! Mra qora! Mra qora!,"[[0.07206769 0.08510756 0.1243715  0.45572162 0.18687953 0.06194991
  0.0139021 ]]"
2242,daenerys targaryen,"My son already has his name, but I'll try your summerwine.","[[3.7982973e-01 3.5983935e-01 1.2677164e-01 6.1522203e-04 1.3246985e-01
  4.7257205e-04 1.6586733e-06]]"
2243,wine merchant,"My Lady, you are from Westeros.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2244,doreah,You have the honor of addressing Daenerys of the House Targaryen.,"[[0.17659576 0.18754907 0.11513042 0.16419153 0.18894993 0.05123156
  0.11635175]]"
2245,wine merchant,Princess.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2246,daenerys targaryen,Rise. I'd still like to taste that wine.,"[[3.6490935e-01 3.5177106e-01 1.2102047e-01 1.8567942e-03 1.5934454e-01
  1.0909843e-03 6.7712203e-06]]"
2247,wine merchant,That? Dornish swill.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2248,daenerys targaryen,"You honor me, Ser.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2249,wine merchant,The honor...the honor is all mine.,"[[0.16260467 0.17354216 0.10173146 0.13657412 0.16873267 0.0407097
  0.21610518]]"
2250,rakharo,"Huh-uh, huh-uh.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2251,wine merchant,"You know there are many in your homeland that pray for your return, princess.","[[0.16204558 0.173166   0.12737171 0.22475526 0.20167544 0.06786712
  0.04311876]]"
2252,daenerys targaryen,I hope to repay your kindness someday.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2253,jorah mormont,Rakharo.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2254,rakharo,Huh.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2255,daenerys targaryen,Is something wrong?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2256,jorah mormont,I have a thirst. Open it.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2257,wine merchant,The wine is for the Khaleesi. It's not for the likes of you.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2258,jorah mormont,Open it.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2259,jorah mormont,Pour.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2260,wine merchant,It would be a crime to drink a wine this rich without at least giving it time to breathe.,"[[0.02016443 0.02473088 0.04877985 0.41070715 0.06438641 0.04246464
  0.38876662]]"
2261,daenerys targaryen,Do as he says.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2262,wine merchant,As the princess commands.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2263,wine merchant,"Sweet, isn't it? Can you smell the fruit, Ser? Taste it, My Lord.","[[0.00589946 0.00766481 0.02364804 0.34753847 0.02793027 0.02402044
  0.5632985 ]]"
2264,jorah mormont,You first.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2265,wine merchant,Me? I'm afraid I am not worthy of the vintage.,"[[0.0474139  0.05190206 0.02815486 0.03436257 0.04763273 0.00801501
  0.78251886]]"
2266,daenerys targaryen,You will drink.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2267,doreah,Khaleesi! Stop him!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2268,jorah mormont,Come.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2269,jeor mormont,Here you begin anew.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2270,jon snow,"I do, my lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2271,jeor mormont,You'll want to take your vow before a heart tree as your Uncle did.,"[[0.14992431 0.16183199 0.1087823  0.1786238  0.17599666 0.04952748
  0.17531341]]"
2272,jon snow,"Yes, my lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2273,jeor mormont,"You'll find a Weirwood a mile North of the Wall. And your old Gods too, maybe.","[[0.1128801  0.12464186 0.10009144 0.2180367  0.15704189 0.0505144
  0.2367937 ]]"
2274,sam tarly,"my lord, might I go as well?","[[0.02563917 0.02877009 0.01856743 0.02970779 0.03040261 0.00573603
  0.86117685]]"
2275,jeor mormont,Does house Tarly keep the old Gods?,"[[3.9348996e-01 3.6769551e-01 1.1975756e-01 5.5955269e-04 1.1790454e-01
  5.8935321e-04 3.4366867e-06]]"
2276,sam tarly,"No, my lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2277,sam tarly,The Night's Watch is my house now.,"[[0.05325306 0.05820555 0.03166544 0.03884052 0.0535598  0.00922574
  0.7552498 ]]"
2278,jeor mormont,"As you wish, lad.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2279,jaremy rykker,Rangers with me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2280,othell yarwyck,Builders!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2281,maester aemon,"Samwell, you will assist me in the rookery and library.","[[0.00441007 0.00560671 0.01229741 0.1091262  0.01553772 0.00869636
  0.84432554]]"
2282,jon snow,Will I serve the Lord Commander's meals and fetch hot water for his bath.,"[[5.1645905e-04 6.9546129e-04 2.0368441e-03 2.3994215e-02 2.3753957e-03
  1.3426587e-03 9.6903896e-01]]"
2283,maester aemon,Certainly. And keep a fire burning in his chambers.,"[[0.21824957 0.22936617 0.13453093 0.13300835 0.22430623 0.04763782
  0.01290102]]"
2284,jon snow,Do you take me for a servant?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2285,maester aemon,We took you for a man of The Night's Watch.,"[[0.08591896 0.09752633 0.11763155 0.41206184 0.17353566 0.07784957
  0.0354761 ]]"
2286,jon snow,May I go?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2287,maester aemon,As you wish.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2288,sam tarly,"Jon, wait! Don't you see what they're doing?","[[0.01119968 0.01307311 0.01171539 0.02996615 0.01793293 0.0043784
  0.91173434]]"
2289,jon snow,"I see Ser Alliser's revenge, that's all.","[[0.05255971 0.05904141 0.04504162 0.0935112  0.07153396 0.01840011
  0.659912  ]]"
2290,pypar,Fair? I was singing for a high lord at Acorn Hall when he put his hand on my leg and he wanted to see my cock.,"[[3.46781135e-01 3.40772688e-01 1.16720855e-01 4.64261509e-03
  1.89032644e-01 2.03199731e-03 1.81063297e-05]]"
2291,sam tarly,I thought you were caught stealing a wheel of cheese for your starving sister?,"[[0.00099103 0.00127482 0.00246021 0.01696377 0.00315856 0.00127299
  0.9738787 ]]"
2292,pypar,You think I was gonna tell a bunch of strangers that a high lord tried to grab my cock?,"[[0.2909592  0.301657   0.12217987 0.03299366 0.24067794 0.01111325
  0.00041905]]"
2293,sam tarly,"Could you sing me a song, Pyp? I'd like to hear a song.","[[0.34416515 0.3391388  0.10200685 0.0151583  0.19071804 0.00842577
  0.00038712]]"
2294,sam tarly,Now listen to me. The old man is the Lord Commander of The Night's Watch.,"[[0.01775539 0.02023519 0.01474039 0.02816016 0.02355757 0.00485297
  0.8906984 ]]"
2295,jon snow,"I just, I always wanted to be a Ranger.","[[0.00524199 0.00641194 0.00900074 0.04258835 0.01249222 0.0044846
  0.9197802 ]]"
2296,sam tarly,I always wanted to be a Wizard.,"[[0.00524199 0.00641194 0.00900074 0.04258835 0.01249222 0.0044846
  0.9197802 ]]"
2297,renly baratheon,She won't care.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2298,eddard stark,And what should I do with a hundred swords?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2299,renly baratheon,Strike! Tonight while the castle sleeps.,"[[0.30951846 0.31256443 0.11174235 0.03639713 0.20992428 0.01824596
  0.00160741]]"
2300,eddard stark,What about Stannis?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2301,renly baratheon,Saving the Seven Kingdoms from Cersei and delivering them to Stannis?,"[[0.00497574 0.00599417 0.00684967 0.0239867  0.00992374 0.00281946
  0.9454505 ]]"
2302,eddard stark,Stannis is your older brother.,"[[0.03117473 0.03467935 0.02096352 0.03031407 0.0347422  0.00624033
  0.8418858 ]]"
2303,renly baratheon,This isn't about the bloody line of succession.,"[[0.01956522 0.02404997 0.0548464  0.5861259  0.07048534 0.05893802
  0.18598911]]"
2304,eddard stark,Stannis is a commander. He's led men into war twice.,"[[0.01201809 0.01391863 0.01151421 0.02613283 0.01789767 0.00401957
  0.914499  ]]"
2305,renly baratheon,"Yes, he's a good soldier. Everyone knows that. So was Robert.","[[0.04053171 0.04784771 0.071973   0.4201954  0.10066646 0.05687548
  0.26191014]]"
2306,tell me something,Do you still believe good soldiers make good kings?,"[[0.30107877 0.30334383 0.11352651 0.0474063  0.20608063 0.02467649
  0.00388752]]"
2307,eddard stark,I will not dishonor Robert's last hours by shedding blood in his halls and dragging frightened children from their beds.,"[[0.20882252 0.22944182 0.14918001 0.11699221 0.2621137  0.03046315
  0.00298654]]"
2308,eddard stark,You will sail to dragonstone tonight.,"[[0.03624467 0.04004556 0.02300313 0.03071945 0.03848879 0.00665144
  0.824847  ]]"
2309,tomard,"Yes, My Lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2310,eddard stark,Now leave us.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2311,petyr baelish,My Lord protector.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2312,eddard stark,The King has no true born sons.,"[[0.00374249 0.00454304 0.00544998 0.02011446 0.00779127 0.00223339
  0.9561254 ]]"
2313,petyr baelish,So when the King dies...,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2314,eddard stark,The throne passes to his brother Lord Stannis.,"[[3.6215654e-01 3.5001904e-01 1.0244423e-01 8.2002366e-03 1.7152780e-01
  5.4634353e-03 1.8873447e-04]]"
2315,petyr baelish,So it would seem. Unless...,"[[0.03390389 0.03757317 0.02207647 0.03054674 0.03678016 0.00646631
  0.8326533 ]]"
2316,eddard stark,"There is no ""unless"".","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2317,petyr baelish,And he cannot take the throne without your help.,"[[3.8732144e-01 3.6610764e-01 1.0206076e-01 3.4065745e-03 1.3739622e-01
  3.5825390e-03 1.2479718e-04]]"
2318,eddard stark,Do you have a shred of honor?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2319,petyr baelish,You are now Hand of the King and Protector of the Realm.,"[[0.00229667 0.00285436 0.00420026 0.02050619 0.00574275 0.00193258
  0.9624672 ]]"
2320,eddard stark,We?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2321,petyr baelish,"You'll need someone to share these burdens. I assure you, my price would be modest.","[[0.26964843 0.283066   0.13020262 0.05211926 0.24645579 0.01745711
  0.00105083]]"
2322,eddard stark,What you suggest is treason.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2323,petyr baelish,Only if we lose.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2324,eddard stark,"Make peace with the Lannisters, you say. With the people who tried to murder my boy..","[[3.5979855e-01 3.4885240e-01 1.1911288e-01 2.5831445e-03 1.6824481e-01
  1.3979217e-03 1.0295156e-05]]"
2325,eddard stark,No. I won't do it.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2326,petyr baelish,So it will be Stannis and war?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2327,eddard stark,There is no other choice. He is the heir.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2328,petyr baelish,"So why did you call me here? Not for my wisdom, clearly.","[[0.0578816  0.06387558 0.03977763 0.0602937  0.06562064 0.01348806
  0.69906276]]"
2329,eddard stark,You promised Catelyn you would help me.,"[[0.29875255 0.3022795  0.11517628 0.04701748 0.2101266  0.02356929
  0.00307829]]"
2330,petyr baelish,Look at you. You know what you want me to do.,"[[0.0231733  0.02611859 0.01742894 0.02936464 0.02836335 0.0054873
  0.8700639 ]]"
2331,daenerys targaryen,"I thought he'd leave me alone, now that my brother is gone.","[[0.01820146 0.02075036 0.01522696 0.02945954 0.02431238 0.00507528
  0.886974  ]]"
2332,daenerys targaryen,He will not have my son.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2333,khal drogo,Moon of my life. Are you hurt?,"[[0.01245039 0.01439837 0.01177513 0.02632667 0.01835062 0.00409035
  0.9126085 ]]"
2334,khal drogo,"Jorah the Andal, I heard what you did.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2335,king joffrey,Liar!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2336,cersei lannister,"You condemn yourself with your own mouth, Lord Stark.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2337,eddard stark,"Ser Barristan is a good man, a loyal man. Do him no harm.","[[0.00364528 0.00490903 0.02211456 0.54325336 0.02407624 0.03000818
  0.37199327]]"
2338,cersei lannister,You think he stands alone?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2339,king joffrey,"Kill him! Kill all of them, I command it!","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2340,eddard stark,Commander! Take the Queen and her children into custody.,"[[0.01030749 0.01201269 0.01044375 0.02529576 0.01605295 0.00372512
  0.9221622 ]]"
2341,janos slynt,Men of the Watch!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2342,eddard stark,I want no bloodshed.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2343,petyr baelish,Now!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2344,petyr baelish,I did warn you not to trust me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2345,syrio forel,"Yah! Left high, left low.","[[3.4546894e-01 3.3931181e-01 1.1791229e-01 4.5649544e-03 1.9079112e-01
  1.9352289e-03 1.5714793e-05]]"
2346,syrio forel,"Right low, lunge right.","[[0.02911869 0.03249086 0.02009715 0.03011237 0.03316546 0.0060611
  0.8489544 ]]"
2347,steward of house stark,"If you break anything, the Septa will have my head. What is...","[[0.10629383 0.11311239 0.05188409 0.04838426 0.09048627 0.01433535
  0.5755039 ]]"
2348,septa mordane,Your sister knew perfectly well we were to leave today.,"[[0.01276646 0.01627814 0.04884208 0.7546993  0.06233943 0.06159426
  0.04348042]]"
2349,sansa stark,She didn't forget. She's with her dancing master.,"[[0.2888584  0.28759512 0.11126157 0.06541986 0.19612478 0.03529814
  0.01544203]]"
2350,septa mordane,Hush! Go back to your room.,"[[0.03296981 0.03658736 0.02173266 0.03058071 0.03613187 0.00641003
  0.83558756]]"
2351,sansa stark,What is it? What's happening?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2352,septa mordane,Do as I told you. Run!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2353,syrio forel,"This way! Left, right.","[[0.0323229  0.0358983  0.02143629 0.03041641 0.03560599 0.00633686
  0.83798325]]"
2354,arya stark,"You said right, but you went left.","[[0.20870824 0.21549247 0.08685099 0.0649168  0.15429705 0.02513869
  0.24459578]]"
2355,syrio forel,And now you are a dead girl.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2356,arya stark,Only 'cause you lied.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2357,syrio forel,My tongue lied.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2358,arya stark,"I was so. I watched, but you...","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2359,syrio forel,"Watching is not seeing, dead girl.","[[0.04841955 0.0562866  0.08885078 0.5404064  0.12394093 0.0827662
  0.05932951]]"
2360,meryn trant,"Arya Stark, come with us.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2361,syrio forel,And why is it that Lord Eddard is sending Lannister men in place of his own? I am wondering.,"[[0.04893924 0.05872286 0.10290914 0.55375725 0.14772646 0.06743386
  0.02051122]]"
2362,meryn trant,"Mind your place, dancing master.","[[0.03371521 0.03755498 0.02335018 0.03523514 0.0385191  0.00724416
  0.82438123]]"
2363,arya stark,My father wouldn't send you.,"[[0.03556274 0.039326   0.0227361  0.03067193 0.03799518 0.00659863
  0.8271094 ]]"
2364,arya stark,And I don't have to go with you if I don't want.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2365,maryn trant,Take her.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2366,syrio forel,"Are you men or snakes, that you would threaten a child?","[[0.02315661 0.02614645 0.01780489 0.0309374  0.02887192 0.00572278
  0.8673599 ]]"
2367,kings guard,"Get out of my way, little man.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2368,syrio forel,I am Syrio Forel.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2369,kings guard,Foreign bastard.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2370,syrio forel,And you will be speaking to me with more respect.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2371,meryn trant,Kill the Braavosi. Bring the girl.,"[[0.00536996 0.00643026 0.00695006 0.02243336 0.01017428 0.00273744
  0.9459047 ]]"
2372,syrio forel,"Arya child, we are done with dancing for the day.","[[3.48035872e-01 3.40207845e-01 1.03077054e-01 1.20093441e-02
  1.90098092e-01 6.36386359e-03 2.07828125e-04]]"
2373,meryn trant,Bloody oafs.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2374,syrio forel,"Be gone now, Arya.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2375,arya stark,Come with me. Run.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2376,syrio forel,The first sword of Braavos does not run.,"[[0.01130436 0.01356723 0.01723852 0.07328541 0.02457898 0.00882329
  0.8512022 ]]"
2377,syrio forel,What do we say to the God of death?,"[[0.00413514 0.00499978 0.00581261 0.02058983 0.00836863 0.00234993
  0.95374405]]"
2378,arya stark,Not today.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2379,syrio forel,Go.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2380,arya stark,Not today. Not today.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2381,sansa stark,Stay away from me.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2382,sandor clegane,Who do you think sent me?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2383,arya stark,Needle.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2384,stable boy,There she is.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2385,arya stark,What do you want?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2386,stable boy,"I want you, wolf girl. Come here.","[[0.17905694 0.19649003 0.14960945 0.17532805 0.25141278 0.04242038
  0.00568235]]"
2387,arya stark,Leave me be. My father's a lord. He'll reward you.,"[[0.00366864 0.00445687 0.00538026 0.02002121 0.00768065 0.00221095
  0.9565814 ]]"
2388,stable boy,"She'll reward me, the Queen!","[[0.13997072 0.14739737 0.06416686 0.05484813 0.11283155 0.01783793
  0.46294737]]"
2389,arya stark,Stay away!,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2390,lord varys,"Lord Stark, you must be thirsty.","[[0.02563917 0.02877009 0.01856743 0.02970779 0.03040261 0.00573603
  0.86117685]]"
2391,eddard stark,Varys.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2392,lord varys,I promise you it isn't poisoned.,"[[0.0081177  0.00955272 0.00896737 0.02401435 0.01354718 0.00330668
  0.93249404]]"
2393,eddard stark,What about my daughters?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2394,lord varys,The younger one seems to have escaped the castle.,"[[0.25947368 0.26802853 0.12782119 0.08143572 0.22296074 0.03408515
  0.00619499]]"
2395,eddard stark,And Sansa?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2396,lord varys,Still engaged to Joffrey.,"[[0.3397008  0.3330336  0.09764742 0.02611579 0.18431394 0.01696241
  0.002226  ]]"
2397,eddard stark,You watched my men being slaughtered and did nothing.,"[[0.03334612 0.03720701 0.02353473 0.03646452 0.03870704 0.00741909
  0.8233215 ]]"
2398,lord varys,"And would again, My Lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2399,eddard stark,The madness of mercy. That she might save her children.,"[[0.01941052 0.02204008 0.01559357 0.02857265 0.02507199 0.00505838
  0.88425285]]"
2400,lord varys,"Ah, the children. It is always the innocents who suffer.","[[0.35403702 0.34417573 0.09945697 0.01268494 0.18150663 0.00778313
  0.00035572]]"
2401,eddard stark,The Queen can't kill me. Cat holds her brother.,"[[0.01301563 0.01502442 0.01211099 0.02657153 0.01893529 0.0041812
  0.910161  ]]"
2402,lord varys,The wrong brother sadly.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2403,eddard stark,"If that's true, then slit my throat and be done with it.","[[0.00151853 0.00195677 0.00417394 0.03363315 0.00525029 0.00247305
  0.95099425]]"
2404,lord varys,"Not today, My Lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2405,eddard stark,"Tell me something, Varys.","[[0.03043047 0.03388802 0.0206529  0.03024386 0.03417603 0.0061764
  0.8444323 ]]"
2406,lord varys,"The Realm, My Lord.","[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2407,jeor mormont,"It's Othor, without a doubt.","[[0.03655301 0.04037062 0.02312313 0.03074036 0.03871077 0.00667512
  0.82382697]]"
2408,othell yarwyck,"The other one is Jafer Flowers, My Lord, less the hand the wolf tore off.","[[3.1514087e-04 4.2440620e-04 1.1553358e-03 1.1926151e-02 1.3605830e-03
  6.7058438e-04 9.8414779e-01]]"
2409,jeor mormont,Any sign of Benjen or the rest of his party?,"[[0.0400332  0.04409455 0.02489405 0.03234342 0.04179226 0.00718395
  0.8096586 ]]"
2410,jon snow,"Just these two, My Lord. Been dead awhile, I'd say.","[[3.5260668e-01 3.4346014e-01 1.0236799e-01 1.0863680e-02 1.8431853e-01
  6.1744708e-03 2.0851374e-04]]"
2411,jeor mormont,Mmm.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2412,sam tarly,The smell.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2413,othell yarwyck,What smell?,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2414,sam tarly,There is none.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2415,jon snow,We should burn them.,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
2416,othell yarwyck,"Snow's not wrong, My Lord.","[[0.01564629 0.017924   0.01360532 0.02756847 0.0215583  0.00457478
  0.8991229 ]]"
