,author,content,clean tweets,probs
1499,selenagomez,"""Who Says"" available on iTunes tomorrow!!!!",says available itunes tomorrow,"[[0.02655221 0.03213166 0.06809983 0.65078557 0.09104436 0.07500587
  0.05638049]]"
1500,TheEllenShow,"I played 5 Second Rule with @DamonKWayans. If you have 5 seconds, you should watch. https://t.co/D7yJ94AtVl",played 5 second rule damonkwayans 5 seconds watch httpstcod7yj94atvl,"[[3.6680698e-04 5.0552498e-04 1.8310134e-03 2.8196808e-02 2.0295961e-03
  1.3598873e-03 9.6571034e-01]]"
1501,rihanna,“@RihrihFreak: Now when is the video coming into the out ? #TowardsTheSun” ha! #tweetoftheday @DWAnimation #HOME,“rihrihfreak video coming towardsthesun” ha tweetoftheday dwanimation home,"[[0.01805168 0.02189246 0.03471534 0.20874152 0.04768682 0.02338166
  0.64553046]]"
1502,cnnbrk,"Ex-NFL player Dennis Byrd, who was paralyzed in on-field injury and later learned to walk, dies in car wreck, age 5… https://t.co/JGyfByDELN",exnfl player dennis byrd paralyzed onfield injury later learned walk dies car wreck age 5… httpstcojgyfbydeln,"[[4.0585478e-04 5.4129219e-04 1.3746268e-03 1.3099460e-02 1.6473252e-03
  7.8232685e-04 9.8214906e-01]]"
1503,YouTube,Don’t let anything stop you from shredding. https://t.co/ARccXs4aiv https://t.co/z36I7rQ60e,don’t let anything stop shredding httpstcoarccxs4aiv httpstcoz36i7rq60e,"[[3.3052027e-01 3.3242881e-01 1.2216580e-01 4.6769339e-03 2.0867889e-01
  1.5209173e-03 8.2799606e-06]]"
1504,YouTube,Can you believe this kid’s only 12? https://t.co/9Mv73pObsI https://t.co/6e4hMkcS4l,believe kid’s 12 httpstco9mv73pobsi httpstco6e4hmkcs4l,"[[3.6276487e-01 3.5208958e-01 1.2459378e-01 1.3876898e-03 1.5838933e-01
  7.7129254e-04 3.3841127e-06]]"
1505,Twitter,Beards of a feather #StickTogether. https://t.co/fDGs70qeJW,beards feather sticktogether httpstcofdgs70qejw,"[[3.5733488e-01 3.4720784e-01 1.0306151e-01 8.9162197e-03 1.7788570e-01
  5.4205270e-03 1.7328224e-04]]"
1506,YouTube,Are you rolling with @IGGYAZALEA’s team? https://t.co/aSOSOsxN7a https://t.co/DqlDkinO9r,rolling iggyazalea’s team httpstcoasososxn7a httpstcodqldkino9r,"[[0.02368824 0.02835734 0.03972732 0.20413083 0.05626211 0.02524923
  0.62258494]]"
1507,BarackObama,Equality isn't a zero-sum game. https://t.co/Gj2V95WzPO,equality isnt zerosum game httpstcogj2v95wzpo,"[[3.6124507e-01 3.5239202e-01 1.3786827e-01 4.7041825e-04 1.4778060e-01
  2.4332586e-04 3.3593665e-07]]"
1508,katyperry,"Aka if they ya true homie and they ain't actin right, smack em wit love or else they gonna get… https://t.co/4tNwM7nsao",aka ya true homie aint actin right smack em wit love else gonna get… httpstco4tnwm7nsao,"[[0.05112564 0.06268495 0.11468387 0.5365274  0.17079204 0.05381428
  0.01037177]]"
1509,BarackObama,"Two years ago today, the Senate passed a bill to fix our broken immigration system with a bipartisan majority. #ImmigrationAction",two years ago today senate passed bill fix broken immigration system bipaisan majority immigrationaction,"[[0.00164959 0.00209364 0.00377394 0.02425216 0.00493238 0.00197667
  0.96132165]]"
1510,KimKardashian,Watching #RobAndChyna !!!! Tune into E! now!,watching robandchyna tune e,"[[3.4872752e-01 3.4333739e-01 1.1482912e-01 4.7095660e-03 1.8620943e-01
  2.1647832e-03 2.2221415e-05]]"
1511,Cristiano,"@Cristianosheart Here you have, a big hello to you and Iraq.",cristianoshea big hello iraq,"[[0.05619807 0.06989254 0.12551415 0.5025635  0.19393542 0.04557195
  0.00632431]]"
1512,selenagomez,Bullying isn't cool. I signed the the Stop Bullying: Speak Up Pledge. Join the movement at http://t.co/vAi3pbJO,bullying isnt cool signed stop bullying speak pledge join movement httptcovai3pbjo,"[[0.1482854  0.16731231 0.15293808 0.22838075 0.25217432 0.04490744
  0.00600164]]"
1513,cnnbrk,"Henry Kissinger, George Shultz say they will not back either major party candidate in the 2016 race. https://t.co/A0bjkiFyk1",henry kissinger george shultz say back either major pay candidate 2016 race httpstcoa0bjkifyk1,"[[0.00230387 0.00285111 0.00398129 0.01792111 0.00550063 0.0017412
  0.96570075]]"
1514,TheEllenShow,"I know, that mustache is just adorable.  https://t.co/ZgGbHYAJNH",know mustache adorable httpstcozggbhyajnh,"[[0.00087752 0.00122566 0.00607289 0.14946233 0.00632104 0.00656047
  0.82948005]]"
1515,ArianaGrande,@ColleenB123 wordsssss cannnnnot express how much I missed you. you have no idea how much I love you. my cheeks still hurt. (my ass ones jk),colleenb123 wordsssss cannnnnot express much missed idea much love cheeks still hu ass ones jk,"[[0.04480708 0.0491852  0.02725513 0.03439448 0.04592408 0.00785943
  0.7905746 ]]"
1516,KimKardashian,Happy 4th of July! http://t.co/o1RrnJKIqh,happy 4th july httptcoo1rrnjkiqh,"[[0.0067509  0.0084376  0.01578202 0.11529487 0.02080658 0.01048296
  0.82244503]]"
1517,jtimberlake,"@tish919 Brad. Your wife had a great idea to put together a scrapbook for you. I say much appreciation and admiration to you, my man. JT",tish919 brad wife great idea put together scrapbook say much appreciation admiration man jt,"[[1.8991089e-04 2.6543625e-04 1.0132666e-03 1.6021028e-02 1.1019085e-03
  7.1211252e-04 9.8069638e-01]]"
1518,justinbieber,Wango Tango tomorrow. Gonna be good to be back on stage. #WhereAreUNow,wango tango tomorrow gonna good back stage whereareunow,"[[3.84948701e-01 3.61546278e-01 1.31895676e-01 3.18820181e-04
  1.21020615e-01 2.69354699e-04 5.91455034e-07]]"
1519,ddlovato,Wildfire for no particular reason #AskDemi #HHM https://t.co/7w1mcjBfNi,wildfire paicular reason askdemi hhm httpstco7w1mcjbfni,"[[0.00115916 0.00148879 0.0029034  0.02046192 0.00372062 0.00154746
  0.9687187 ]]"
1520,katyperry,!!!HEY!!! HEAR 2 NEW 30 SECOND SONG SNIPPETS FROM #PRISM NOW &amp; VOTE WHICH ONE COMES OUT 1ST ON ITUNES SEPT 17TH! http://t.co/anK8c0zG7W,hey hear 2 new 30 second song snippets prism amp vote one comes 1st itunes sept 17th httptcoank8c0zg7w,"[[0.00932713 0.01150427 0.01962365 0.12674215 0.02637202 0.01260044
  0.7938304 ]]"
1521,rihanna,FREE tix to tonight’s Stockholm show for my #Navi! Come to Bern now to get em #FirstComeFirstServed #777Tour #HTC,free tix tonight’s stockholm show navi come bern get em firstcomefirstserved 777tour htc,"[[0.21310872 0.23212105 0.1481116  0.11196999 0.2632766  0.02887243
  0.00253963]]"
1522,KimKardashian,Glam BTS with Michael Silva on http://t.co/M0m4mjqwvP http://t.co/559jECjNBt,glam bts michael silva httptcom0m4mjqwvp httptco559jecjnbt,"[[0.00332724 0.00458439 0.02659675 0.88267475 0.03173759 0.03375703
  0.0173222 ]]"
1523,justinbieber,#PurposeTourGlendale another great show. Thank u,purposetourglendale another great show thank u,"[[6.3196712e-05 9.3289367e-05 5.0758367e-04 1.0819100e-02 4.9835443e-04
  3.5300842e-04 9.8766541e-01]]"
1524,TheEllenShow,"Veronica was caught playing hooky in my audience, so I had to school her myself. http://t.co/uWqXLp2phE",veronica caught playing hooky audience school httptcouwqxlp2phe,"[[3.5307500e-01 3.4670928e-01 1.1218611e-01 4.8646294e-03 1.8067048e-01
  2.4629103e-03 3.1601387e-05]]"
1525,jimmyfallon,So much fun!!! Come back soon please. https://t.co/FYp0FpjYH7,much fun come back soon please httpstcofyp0fpjyh7,"[[0.01565257 0.01805515 0.0147772  0.03369832 0.02312472 0.00537529
  0.88931674]]"
1526,KimKardashian,CURRENTLY https://t.co/P4L74xvy3L https://t.co/QRKuKL875C,currently httpstcop4l74xvy3l httpstcoqrkukl875c,"[[0.35377026 0.34526357 0.09860517 0.01324382 0.18031044 0.00837301
  0.00043379]]"
1527,BarackObama,ICYMI: Nearly 11.7 million Americans enrolled in health care through the open marketplace. http://t.co/tNREJaKtvH,icymi nearly 117 million americans enrolled health care open marketplace httptcotnrejaktvh,"[[2.4332657e-01 2.6503107e-01 1.4465435e-01 4.8053071e-02 2.8887612e-01
  9.8372987e-03 2.2146416e-04]]"
1528,KimKardashian,New @DASHBoutique markdowns!! In store and online. Don’t miss it… https://t.co/CQ1jtHhk1q,new dashboutique markdowns store online don’t miss it… httpstcocq1jthhk1q,"[[0.00508026 0.00675875 0.03071388 0.83253163 0.03586458 0.04882209
  0.04022883]]"
1529,selenagomez,MSG was epic!!! Thank you sooooo much NY!! Love youuuu,msg epic thank sooooo much ny love youuuu,"[[0.21349457 0.22783026 0.14084958 0.13085473 0.2374056  0.0423109
  0.00725434]]"
1530,taylorswift13,About to put on my hat and walk/frolick to the stage for our first of five shows at the O2 in London!! #REDTourLondon,put hat walkfrolick stage first five shows o2 london redtourlondon,"[[0.06196154 0.07121894 0.08298597 0.326565   0.12172174 0.05424415
  0.2813026 ]]"
1531,Cristiano,Hat trick!!!! CR7 GOAL ALERT! Real vs Sevilla 5:1 (85') - Presented by PES 2012 http://t.co/ohSIHQ42,hat trick cr7 goal ale real vs sevilla 51 85 presented pes 2012 httptcoohsihq42,"[[0.00157001 0.00220383 0.0162699  0.8185537  0.01622722 0.03401367
  0.11116166]]"
1532,cnnbrk,"Taliban launches major assault on Afghan city of Kunduz, officials say. https://t.co/Y3xAXNvjvw",taliban launches major assault afghan city kunduz officials say httpstcoy3xaxnvjvw,"[[6.3178479e-04 8.8389777e-04 4.2005205e-03 9.5550992e-02 4.3976684e-03
  4.1608722e-03 8.9017427e-01]]"
1533,TheEllenShow,Happy birthday @Kelly_Clarkson &amp; @BarbraStreisand! I think this means y’all should do a duet. You can call it “Since U Been The Way We Were”,happy bihday kellyclarkson amp barbrastreisand think means y’all duet call “since u way were”,"[[1.3253481e-04 1.9056749e-04 9.0999849e-04 1.8744979e-02 9.3705743e-04
  7.0977421e-04 9.7837514e-01]]"
1534,Cristiano,"For Christmas, give away emotions with a customized autographed photo by me with @Mystarautograph http://t.co/r2eFbxHF http://t.co/HrrogoYr",christmas give away emotions customized autographed photo mystarautograph httptcor2efbxhf httptcohrrogoyr,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
1535,katyperry,I no longer subscribe to organized religion but I believe in @chancetherapper 🙏🏼,longer subscribe organized religion believe chancetherapper 🙏🏼,"[[0.04110733 0.04898338 0.08796161 0.58388346 0.12199782 0.07627865
  0.03978771]]"
1536,selenagomez,"Happy Easter everyone, I hope your all enjoying your day with family.",happy easter everyone hope enjoying day family,"[[8.8855537e-04 1.2108560e-03 4.4023991e-03 7.1540684e-02 4.9245930e-03
  3.7147934e-03 9.1331816e-01]]"
1537,jimmyfallon,"Christopher Cross,Yolanda Adams and the Doobie Brothers w/ Michael McDonald on Mix Tape Month  #MTM #FallonAugust",christopher crossyolanda adams doobie brothers w michael mcdonald mix tape month mtm fallonaugust,"[[0.12982287 0.15056843 0.16043365 0.24645987 0.27743503 0.03294946
  0.00233068]]"
1538,jimmyfallon,"Hashtag game! Tweet out something dumb or embarrassing you've said, and tag with #WhyDidISayThat. Could be on our show!",hashtag game tweet something dumb embarrassing youve said tag whydidisaythat could show,"[[0.01481757 0.01840656 0.04991878 0.69592416 0.06217026 0.0651784
  0.09358424]]"
1539,jtimberlake,#JustinTimberweek Night 3: @SteveCarell &amp; #LetTheGrooveGetIn: http://t.co/0aMITreoIc. 2 more nights @LateNightJimmy 12:35/11:35C! -teamJT,justintimberweek night 3 stevecarell amp letthegroovegetin httptco0amitreoic 2 nights latenightjimmy 12351135c teamjt,"[[0.01536318 0.01772283 0.01448831 0.0329528  0.02267035 0.00524754
  0.891555  ]]"
1540,BarackObama,"""The death of Michael Brown is heartbreaking."" —President Obama. Read the full statement: http://t.co/PMwsBGqbQB",death michael brown heabreaking —president obama read full statement httptcopmwsbgqbqb,"[[0.00146008 0.00183964 0.00296107 0.0160521  0.00396216 0.00137705
  0.9723479 ]]"
1541,YouTube,This kid carries a beat around the entire world. https://t.co/8mu2fLlJo8 https://t.co/CkAzvrE8YJ,kid carries beat around entire world httpstco8mu2flljo8 httpstcockazvre8yj,"[[1.2219879e-04 1.7503784e-04 7.9142238e-04 1.5081488e-02 8.2405441e-04
  5.8536668e-04 9.8242044e-01]]"
1542,ddlovato,Who wouldn’t love a rose gold and matte black Honda Civic? Could be yours!! https://t.co/XxO6vSxV2L https://t.co/UDYMJcUdOG #HondaCivicTour,wouldn’t love rose gold matte black honda civic could httpstcoxxo6vsxv2l httpstcoudymjcudog hondacivictour,"[[0.01550174 0.01935771 0.04471684 0.48103288 0.0574878  0.04433873
  0.33756432]]"
1543,jtimberlake,Take a peek at the new international trailer for #RunnerRunner : http://t.co/VgUA94Uy0u You dig it? -teamJT,take peek new international trailer runnerrunner httptcovgua94uy0u dig teamjt,"[[3.8102368e-01 3.6121225e-01 1.2066135e-01 9.5402828e-04 1.3537514e-01
  7.6897943e-04 4.5742222e-06]]"
1544,britneyspears,@aksgaga thank you so so much!,aksgaga thank much,"[[0.07815931 0.09404672 0.14008875 0.41449258 0.22347377 0.0445196
  0.00521913]]"
1545,ladygaga,@burningcoIors do u have any Angels? Talk to them,burningcoiors u angels talk,"[[0.32106182 0.3244853  0.10932852 0.02235071 0.21236753 0.0099672
  0.00043884]]"
1546,KimKardashian,Yes they are! https://t.co/XZPaq0gMNa,yes httpstcoxzpaq0gmna,"[[0.13261928 0.14877479 0.14395615 0.27734935 0.2277172  0.05803246
  0.01155078]]"
1547,jtimberlake,“@michumoreraa: i can't wait 'till september 30 when @jtimberlake 's deluxe album comes out on itunes😍 so exciteddd!” Well damn!! Me too!,“michumoreraa cant wait till september 30 jtimberlake deluxe album comes itunes😍 exciteddd” well damn,"[[0.05203975 0.06259159 0.10678905 0.53683627 0.15340152 0.06763623
  0.0207057 ]]"
1548,rihanna,Man of the match goes to.... http://t.co/p3za6jpPEa,man match goes httptcop3za6jppea,"[[3.4332275e-01 3.3786455e-01 1.1105085e-01 7.6725385e-03 1.9670160e-01
  3.3393700e-03 4.8369602e-05]]"
1549,jimmyfallon,Tonight on the show: Chris Hemsworth and I have a Water War! Plus Sienna Miller is here and @joeybadass performs. #FallonTonight,tonight show chris hemswoh water war plus sienna miller joeybadass performs fallontonight,"[[3.7419021e-01 3.5773787e-01 1.3104835e-01 5.1999389e-04 1.3615021e-01
  3.5252309e-04 8.5201714e-07]]"
1550,cnnbrk,"Playwright Edward Albee, whose works include ""Who's Afraid of Virginia Woolf?"", has died. https://t.co/VGDkBygt6z https://t.co/BnWfoIGvRX",playwright edward albee whose works include whos afraid virginia woolf died httpstcovgdkbygt6z httpstcobnwfoigvrx,"[[0.02100629 0.02593173 0.06273872 0.69517404 0.08297704 0.06911072
  0.04306152]]"
1551,jimmyfallon,"Tonight: Warren Beatty, @NaomieHarris, @r0bbier0berts0n, and music from @heyamine! #FallonTonight",tonight warren beatty naomieharris r0bbier0bes0n music heyamine fallontonight,"[[0.01712761 0.02265581 0.07471681 0.7390556  0.11043917 0.03211394
  0.00389111]]"
1552,ladygaga,.@AmyGaga1D I thought of her almost every day in the studio. I wish she was still here. She was jazz to her core. #AskTonyAndGaga,amygaga1d thought almost every day studio wish still jazz core asktonyandgaga,"[[0.00620946 0.00738963 0.0075873  0.02286985 0.01123668 0.00291484
  0.9417922 ]]"
1553,ladygaga,"I'm honored to sing for the finest athletes, coaches &amp; fans in the USA #SB50 @NFL 🇺🇸 Sun. by the dawns early light.. https://t.co/k0aew0mk7R",im honored sing finest athletes coaches amp fans usa sb50 nfl 🇺🇸 sun dawns early light httpstcok0aew0mk7r,"[[0.00161129 0.00202307 0.00317221 0.01663544 0.00427038 0.00146202
  0.9708256 ]]"
1554,cnnbrk,"'94 Heisman Trophy winner Rashaan Salaam found dead in a Boulder, CO, park. He was 42. https://t.co/teP9ifEdFT https://t.co/MvOIFOJTbH",94 heisman trophy winner rashaan salaam found dead boulder co park 42 httpstcotep9ifedft httpstcomvoifojtbh,"[[2.2618569e-01 2.5154594e-01 1.5254256e-01 5.4753102e-02 3.0531809e-01
  9.4708158e-03 1.8382785e-04]]"
1555,taylorswift13,"Next to meeeeee, woo hooo! &lt;3 http://t.co/rkEl8emvKp",next meeeeee woo hooo lt3 httptcorkel8emvkp,"[[0.01013095 0.01181538 0.0103295  0.02520111 0.01585763 0.00369294
  0.9229725 ]]"
1556,YouTube,@DaRealWillPower Yay! Welcome back!,darealwillpower yay welcome back,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
1557,instagram,"Happy birthday, @lucyhale! ❤️🚴🎂  https://t.co/uGpVkDwOGd",happy bihday lucyhale ❤️🚴🎂 httpstcougpvkdwogd,"[[6.5912411e-04 8.6196221e-04 1.8873349e-03 1.5087890e-02 2.3475015e-03
  1.0196926e-03 9.7813648e-01]]"
1558,selenagomez,"#Haiti365 UNICEF continues to feed more than 11,000 children in Haiti.",haiti365 unicef continues feed 11000 children haiti,"[[0.00964409 0.01131042 0.01044641 0.02767466 0.01587713 0.0039175
  0.92112976]]"
1559,instagram,Thumbs up to this foodie fluff (via @mashable)🐶 🌭 https://t.co/viOsjjD1UU,thumbs foodie fluff via mashable🐶 🌭 httpstcoviosjjd1uu,"[[0.30583256 0.31191024 0.11477012 0.03184604 0.22129627 0.01357201
  0.00077274]]"
1560,cnnbrk,"Truck crash that killed 9 in Berlin market is being investigated as an act of terrorism, German official says… https://t.co/v7v1ytOAl2",truck crash killed 9 berlin market investigated act terrorism german official says… httpstcov7v1ytoal2,"[[0.03317783 0.03952538 0.07454848 0.6064825  0.10075025 0.07930772
  0.06620774]]"
1561,selenagomez,MN fans!  Excited 2 visit The Verizon Destination Store @mallofamerica Visit 2morrow for a chance to win tix! Rules: http://t.co/2w4UrFmhsw,mn fans excited 2 visit verizon destination store mallofamerica visit 2morrow chance win tix rules httptco2w4urfmhsw,"[[0.19323935 0.20963006 0.14463109 0.15838453 0.23881829 0.04657561
  0.0087211 ]]"
1562,britneyspears,@ZacharyGordon95 That's wonderful. Thank you so much to you and your husband ❤️,zacharygordon95 thats wonderful thank much husband ❤️,"[[0.00376516 0.0050366  0.02017543 0.41679382 0.02248719 0.02407066
  0.5076712 ]]"
1563,TheEllenShow,"Happy birthday, @Pink. You’re F#$&amp;!^g perfect.",happy bihday pink you’re fampg perfect,"[[0.23673823 0.254743   0.14229196 0.0807384  0.26127207 0.02262184
  0.0015945 ]]"
1564,ladygaga,@HausOfJuan noticed 👏💗💋😭,hausofjuan noticed 👏💗💋😭,"[[0.00279609 0.00383332 0.02057374 0.64873767 0.02170155 0.03245112
  0.26990652]]"
1565,justinbieber,#PurposeSingles stickers. Thank u @Twitter https://t.co/1VDgGYrZVD,purposesingles stickers thank u twitter httpstco1vdggyrzvd,"[[0.00834855 0.01036618 0.01911012 0.13686606 0.02519951 0.01286704
  0.7872426 ]]"
1566,ladygaga,. @realDonaldTrump you divided us with hateful language &amp; fear . I love everyone in this country and I vote for… https://t.co/BuUazmulGM,realdonaldtrump divided us hateful language amp fear love everyone country vote for… httpstcobuuazmulgm,"[[3.5016316e-01 3.4665126e-01 1.4057583e-01 5.6036760e-04 1.6182138e-01
  2.2784408e-04 2.4796017e-07]]"
1567,justinbieber,#JustinForMMVA we did it! Love u Canada. Promise to make u proud. Grown up in front of u &amp; grown a lot. Thanks for sticking with me. Love u,justinformmva love u canada promise make u proud grown front u amp grown lot thanks sticking love u,"[[3.5260668e-01 3.4346014e-01 1.0236799e-01 1.0863680e-02 1.8431853e-01
  6.1744708e-03 2.0851374e-04]]"
1568,instagram,Searching for hidden stories in the side streets of Cairo with @nourikam https://t.co/X5DO9mzzVU https://t.co/9VNveJwgnu,searching hidden stories side streets cairo nourikam httpstcox5do9mzzvu httpstco9vnvejwgnu,"[[3.2906061e-01 3.3140302e-01 1.0819952e-01 1.6157240e-02 2.0776045e-01
  7.1853003e-03 2.3387163e-04]]"
1569,cnnbrk,"Algae to blame for green water in Olympic diving pool but no risk to athletes, organizers say. https://t.co/4g16rgnwz9",algae blame green water olympic diving pool risk athletes organizers say httpstco4g16rgnwz9,"[[3.3970913e-01 3.3637792e-01 1.0520357e-01 1.3925731e-02 1.9768117e-01
  6.8713124e-03 2.3112305e-04]]"
1570,jimmyfallon,That's cool!! https://t.co/wvEx0Ud2zt,thats cool httpstcowvex0ud2zt,"[[3.9401865e-01 3.6828461e-01 1.4983045e-01 2.5523104e-05 8.7812625e-02
  2.8042074e-05 9.4474002e-09]]"
1571,ArianaGrande,thank you my love ❄️❄️❄️❄️❄️ https://t.co/ZdV6QAU11A,thank love ❄️❄️❄️❄️❄️ httpstcozdv6qau11a,"[[0.01080225 0.01256535 0.01076    0.02554956 0.01659581 0.00381255
  0.9199145 ]]"
1572,ladygaga,💋 me I'm back in the NY GROOVE https://t.co/ckF0lsuDt5,💋 im back ny groove httpstcockf0lsudt5,"[[3.66933256e-01 3.55785519e-01 1.12019986e-01 3.01942765e-03
  1.60254225e-01 1.96214998e-03 2.54502156e-05]]"
1573,britneyspears,Almost showtime! Curtain is about to go up and I can't put this game down ⭐️ #AmericanDream https://t.co/vUmu696Yel https://t.co/PZ4glrWiF6,almost showtime cuain go cant put game ⭐️ americandream httpstcovumu696yel httpstcopz4glrwif6,"[[0.00168515 0.00226073 0.00767688 0.1181905  0.00877174 0.00675248
  0.8546625 ]]"
1574,KimKardashian,ALL ABOUT NORTH AND PENELOPE'S MERMAID PARTY https://t.co/LvO3e1TWJn,noh penelopes mermaid pay httpstcolvo3e1twjn,"[[3.3540580e-01 3.3477655e-01 1.2230720e-01 4.0627513e-03 2.0203328e-01
  1.4070539e-03 7.4033787e-06]]"
1575,britneyspears,.@RebekahNicAllen One Night One Drop #AskBritneyJean,rebekahnicallen one night one drop askbritneyjean,"[[0.07247136 0.0859946  0.12455241 0.45218262 0.18601552 0.0633952
  0.01538834]]"
1576,rihanna,Just posted a photo http://t.co/1FRvqkLJ,posted photo httptco1frvqklj,"[[3.6778656e-01 3.5515711e-01 1.1478598e-01 2.4892683e-03 1.5815943e-01
  1.6051130e-03 1.6538386e-05]]"
1577,rihanna,#Tbt @mforde11 making sure she aint get bite first #sharklife http://t.co/KNylf29e,tbt mforde11 making sure aint get bite first sharklife httptcoknylf29e,"[[0.04032929 0.05007405 0.10478603 0.5920853  0.1572172  0.04777501
  0.00773314]]"
1578,shakira,Shakira's new self-titled album has now reached Number One on @iTunesMusic in 62 countries! Incredible. ShakHQ http://t.co/ZEo6jAgj32,shakiras new selftitled album reached number one itunesmusic 62 countries incredible shakhq httptcozeo6jagj32,"[[0.00307961 0.00376746 0.00480461 0.01920861 0.00677484 0.00202125
  0.9603436 ]]"
1579,katyperry,@RonanFarrow you better preach,ronanfarrow better preach,"[[0.21191157 0.22785209 0.14440735 0.12607175 0.24784683 0.03713125
  0.00477908]]"
1580,rihanna,"“@beatsbydre: Tonight, @Rihanna shines brighter than ever. Congrats on the first annual #DiamondBall. http://t.co/NAJ6JLw4Al” thank you",“beatsbydre tonight rihanna shines brighter ever congrats first annual diamondball httptconaj6jlw4al” thank,"[[3.5001898e-01 3.4217274e-01 1.0478558e-01 9.7893057e-03 1.8795471e-01
  5.1422915e-03 1.3637039e-04]]"
1581,britneyspears,@SritoCristian awww you are too sweet! xo #PerfumeVideoPremiere,sritocristian awww sweet xo perfumevideopremiere,"[[4.0684059e-01 3.7555873e-01 1.4952911e-01 7.1900777e-06 6.8052761e-02
  1.1670603e-05 2.3545537e-09]]"
1582,britneyspears,"@Tulsinator25 well thank u, I'm following!",tulsinator25 well thank u im following,"[[0.11650133 0.13395293 0.14698923 0.3078954  0.23371646 0.05241168
  0.00853298]]"
1583,ArianaGrande,see you soon atlanta ♡ @poweratl  #JingleBallATL,see soon atlanta ♡ poweratl jingleballatl,"[[3.7388787e-01 3.5704881e-01 1.2370907e-01 1.0243701e-03 1.4362040e-01
  7.0626987e-04 3.3413041e-06]]"
1584,ladygaga,"A look into my life, a new article and fashion spread in @VanityFairItalia love ❤️ you guys #Joanne #LadyGaga https://t.co/c8YiTAY4nG",look life new aicle fashion spread vanityfairitalia love ❤️ guys joanne ladygaga httpstcoc8yitay4ng,"[[4.0704224e-04 5.5036589e-04 1.6417436e-03 1.9273823e-02 1.8967579e-03
  1.0508030e-03 9.7517949e-01]]"
1585,jtimberlake,"RIP George Duke. Funk, Jazz, MUSIC Legend... One of the GREATEST.",rip george duke funk jazz music legend one greatest,"[[0.00278638 0.00358231 0.0080732  0.07291797 0.01014406 0.00547599
  0.8970201 ]]"
1586,YouTube,Happy #NationalIceCreamSandwichDay! May you get bready chocolate stains on every finger. https://t.co/sSXvMx4tAj https://t.co/Ah5cyQZ2aQ,happy nationalicecreamsandwichday may get bready chocolate stains every finger httpstcossxvmx4taj httpstcoah5cyqz2aq,"[[0.00811094 0.00958846 0.00945874 0.02738739 0.01417309 0.00367243
  0.92760897]]"
1587,Cristiano,Simmmm. Happy to win another 🏆 trophy. Well done team. Hala Madrid https://t.co/Gqn6zoPMFT,simmmm happy win another 🏆 trophy well done team hala madrid httpstcogqn6zopmft,"[[0.09442709 0.10583039 0.113276   0.3702328  0.16804981 0.07941334
  0.06877056]]"
1588,rihanna,GoodMorning from #Thailand http://t.co/AlutiXLcX4,goodmorning thailand httptcoalutixlcx4,"[[0.31269896 0.31917572 0.11277448 0.02468009 0.22003421 0.01020411
  0.00043246]]"
1589,BarackObama,Too many elected officials are still in denial about climate change. Join the team holding them accountable: http://t.co/UEGDqi8UQd,many elected officials still denial climate change join team holding accountable httptcouegdqi8uqd,"[[0.02593901 0.03142406 0.05723338 0.4399623  0.07710697 0.04960965
  0.31872463]]"
1590,jimmyfallon,"Oh - and @justinbieber crushes ""Sorry"" tonight! https://t.co/Q4kSttK0KM https://t.co/xRNKExgbhK",oh justinbieber crushes sorry tonight httpstcoq4ksttk0km httpstcoxrnkexgbhk,"[[0.07946578 0.09208724 0.11993822 0.43156892 0.17687568 0.07344116
  0.02662298]]"
1591,instagram,Will the real @heidiklum please stand up? ICYMI: There's still time to watch last night's #HeidiHalloween on our In… https://t.co/cYgXi5Sm4F,real heidiklum please stand icymi theres still time watch last nights heidihalloween in… httpstcocygxi5sm4f,"[[0.01301795 0.0170271  0.05556041 0.7745914  0.07416788 0.0483458
  0.01728943]]"
1592,britneyspears,@JayceeBitch xoxo,jayceebitch xoxo,"[[0.11153556 0.13479605 0.16622041 0.2682922  0.2897859  0.02784511
  0.00152475]]"
1593,TheEllenShow,You never know when I might pop up in your living room. http://t.co/WZNa2spjo9,never know might pop living room httptcowzna2spjo9,"[[0.11794705 0.13173108 0.13171975 0.31995347 0.20083031 0.07103524
  0.02678307]]"
1594,rihanna,ALBUM TITLE #UNAPOLOGETIC http://t.co/4czzL7RW,album title unapologetic httptco4czzl7rw,"[[0.00524254 0.00732023 0.03862805 0.8663091  0.05234553 0.02532529
  0.00482921]]"
1595,KimKardashian,❄️⛄️ do you wanna build a snowman? ⛄️❄️ http://t.co/Cm5rVwD5oo,❄️⛄️ wanna build snowman ⛄️❄️ httptcocm5rvwd5oo,"[[8.5096533e-04 1.1584325e-03 4.0780557e-03 6.3671544e-02 4.6048928e-03
  3.3475372e-03 9.2228866e-01]]"
1596,jimmyfallon,Happy we could finally connect. I'm a big fan. You crushed tonight - as expected - thanks. https://t.co/WjRShVU38J,happy could finally connect im big fan crushed tonight expected thanks httpstcowjrshvu38j,"[[0.11803785 0.12975767 0.10134144 0.21247284 0.15970305 0.05038647
  0.22830074]]"
